Date,Time,visits_s,recruits_s,removed_s,temperature_s,visits_n,recruits_n,removed_n,temperature_n,type
29.07.23,10:35,7,0,0,0,,,,,
29.07.23,10:40,9,1,0,0,,,,,
29.07.23,10:45,18,0,0,0,,,,,
29.07.23,10:50,16,2,0,0,,,,,
29.07.23,10:55,20,1,0,0,,,,,
29.07.23,11:00,14,0,0,0,,,,,
29.07.23,11:05,17,1,10,0,,,,,
29.07.23,11:10,14,2,0,0,8,0,0,33,
29.07.23,11:15,12,1,5,0,9,0,0,35,
29.07.23,11:20,18,1,7,0,3,0,0,37,
29.07.23,11:25,16,0,7,0,9,0,0,37,
29.07.23,11:30,6,0,2,31,11,0,0,37,
29.07.23,11:35,11,0,1,31,5,0,0,37,
29.07.23,11:40,10,2,4,31,14,1,0,37,
29.07.23,11:45,9,0,3,32,7,0,0,37,
29.07.23,11:50,11,0,0,33,,0,0,38,
29.07.23,11:55,13,0,0,33,,0,0,38,
29.07.23,12:00,15,1,0,33,7,0,0,39,
29.07.23,12:05,5,4,0,33,8,1,0,38,
29.07.23,12:10,12,1,3,33,3,0,0,39,
29.07.23,12:15,9,0,0,34,,0,0,39,
29.07.23,12:20,14,1,4,34,8,1,0,39,
29.07.23,12:25,16,0,0,35,9,1,0,39,
29.07.23,12:30,15,0,5,35,5,0,0,39,
29.07.23,12:35,16,0,10,35,6,1,0,39,
29.07.23,12:40,8,0,4,36,6,1,0,40,
29.07.23,12:45,5,1,0,36,6,0,0,40,
29.07.23,12:50,5,0,3,36,5,1,0,40,
29.07.23,12:55,8,0,1,36,8,0,0,40,
29.07.23,13:00,4,0,0,36,3,1,0,41,1
29.07.23,13:05,8,0,1,36,5,0,0,39,1
29.07.23,13:10,6,0,0,36,6,0,0,39,1
29.07.23,13:15,8,0,0,36,6,0,0,39,1
29.07.23,13:20,15,0,3,36,5,0,0,38,1
29.07.23,13:25,9,2,1,36,7,1,0,39,1
29.07.23,13:30,9,0,2,36,,0,0,39,3
29.07.23,13:35,7,0,1,36,7,0,0,39,3
